fen,move_uci
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d1h5
r1bqkbnr/pp1ppppp/n1p5/7Q/4P3/8/PPPP1PPP/RNB1KBNR w KQkq - 2 3,f1c4
r1bqkb1r/pp1ppppp/n1p4n/7Q/2B1P3/8/PPPP1PPP/RNB1K1NR w KQkq - 4 4,d2d3
r1bqkb1r/pp1ppp1p/n1p3pn/7Q/2B1P3/3P4/PPP2PPP/RNB1K1NR w KQkq - 0 5,h5f3
r1bqkb1r/pp1pp2p/n1p3pn/5p2/2B1P3/3P1Q2/PPP2PPP/RNB1K1NR w KQkq - 0 6,c1h6
r1bqk2r/pp1pp2p/n1p3pb/5p2/2B1P3/3P1Q2/PPP2PPP/RN2K1NR w KQkq - 0 7,e4f5
r1bqk2r/pp1pp2p/n1p4b/5p2/2B5/3P1Q2/PPP2PPP/RN2K1NR w KQkq - 0 8,f3f5
r1bqk2r/pp1pp2p/2p4b/5Q2/1nB5/3P4/PPP2PPP/RN2K1NR w KQkq - 1 9,f5f7
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d1h5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,b1c3
r1bqkbnr/ppp2ppp/2np4/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,g2g4
r2qkbnr/ppp2ppp/2np4/4p3/4P1b1/2N2N2/PPPP1P1P/R1BQKB1R w KQkq - 0 5,f1e2
r2qkbnr/ppp2ppp/3p4/4p3/3nP1b1/2N2N2/PPPPBP1P/R1BQK2R w KQkq - 2 6,e1g1
r2qkb1r/ppp2ppp/3p1n2/4p3/3nP1b1/2N2N2/PPPPBP1P/R1BQ1RK1 w kq - 4 7,c3d5
r2qkb1r/ppp2ppp/3p4/3Np3/3nn1b1/5N2/PPPPBP1P/R1BQ1RK1 w kq - 0 8,f3d4
r2qkb1r/ppp2ppp/3p4/3Np3/3Nn3/8/PPPPbP1P/R1BQ1RK1 w kq - 0 9,d1e2
r3kb1r/ppp2ppp/3p4/3Np3/3Nn2q/8/PPPPQP1P/R1B2RK1 w kq - 1 10,d4f3
r3kb1r/ppp2ppp/3p4/3Np3/4nq2/5N2/PPPPQP1P/R1B2RK1 w kq - 3 11,d5f4
rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p3/6P1/7B/PPPPPP1P/RNBQK1NR b KQkq - 1 2,g8f6
rnbqkb1r/pppp1ppp/5n2/4p1P1/8/7B/PPPPPP1P/RNBQK1NR b KQkq - 0 3,f6e4
rnbqkb1r/pppp1ppp/8/4p1P1/4n3/5P1B/PPPPP2P/RNBQK1NR b KQkq - 0 4,e4g5
rnbqkb1r/pppp1ppp/8/4p1n1/8/2N2P1B/PPPPP2P/R1BQK1NR b KQkq - 1 5,b8c6
r1bqkb1r/pppp1ppp/2n5/3Np1n1/8/5P1B/PPPPP2P/R1BQK1NR b KQkq - 3 6,c6d4
r1bqkb1r/ppNp1ppp/8/4p1n1/3n4/5P1B/PPPPP2P/R1BQK1NR b KQkq - 0 7,d8c7
r1b1kb1r/ppqp1ppp/8/4p1n1/3n1P2/7B/PPPPP2P/R1BQK1NR b KQkq - 0 8,d4c2
r1b1kb1r/ppqp1ppp/8/4p1n1/5P2/7B/PPQPP2P/R1B1K1NR b KQkq - 0 9,c7c2
r1b1kb1r/pp1p1ppp/8/4p1n1/5P2/1P5B/P1qPP2P/R1B1K1NR b KQkq - 0 10,e5f4
r1b1kb1r/pp1p1ppp/8/6n1/5p2/BP5B/P1qPP2P/R3K1NR b KQkq - 1 11,f8a3
r1b1k2r/pp1p1ppp/8/6n1/5p2/bP5B/P1qPP2P/2R1K1NR b Kkq - 1 12,c2c1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p2Q/4P3/8/PPPP1PPP/RNB1KBNR b KQkq - 1 2,g8f6
rnbqkb1r/pppp1ppp/5n2/4Q3/4P3/8/PPPP1PPP/RNB1KBNR b KQkq - 0 3,f8e7
rnbqk2r/ppppbppp/5n2/6Q1/4P3/8/PPPP1PPP/RNB1KBNR b KQkq - 2 4,f6e4
rnbqk2r/ppppbpQp/8/8/4n3/8/PPPP1PPP/RNB1KBNR b KQkq - 0 5,e7f6
rnbqk2r/pppp1p1p/5b2/8/4n1Q1/8/PPPP1PPP/RNB1KBNR b KQkq - 2 6,d8e7
rnb1k2r/ppppqp1p/5b2/8/4n1Q1/2N5/PPPP1PPP/R1B1KBNR b KQkq - 4 7,e7e6
rnb1k2r/pppp1p1p/4qb2/8/4Q3/2N5/PPPP1PPP/R1B1KBNR b KQkq - 0 8,e6e4
rnb1k2r/pppp1p1p/5b2/8/4N3/8/PPPP1PPP/R1B1KBNR b KQkq - 0 9,e8e7
